CVC Name,Website,"CVC Description (Based on website, summarized by AI)",Company,Industry,Country
Repsol Corporate Venturing,http://www.repsol.com,"Repsol Corporate Venturing is the corporate venture capital arm of Repsol, based in Madrid, Spain. Founded in 2016, it invests in startups developing disruptive technologies and business models to help with the energy transition and decarbonization. Repsol Corporate Venturing's priority investment areas are:

1. Low-carbon circular economy: Technologies for renewable fuels, CO2 capture, renewable hydrogen, and circular materials.
2. Mobility and renewable generation: Decarbonizing transportation with new fuels and lubricants, and developing more efficient energy management systems.
3. Asset optimization: Using digital technologies like quantum computing, modeling, and robotics to make industrial processes more efficient.

Repsol Corporate Venturing has two complementary investment funds - the Net Zero Ventures fund (co-managed with Suma Capital) that invests in more mature decarbonization and circular economy technologies, and the Repsol Deep Tech fund that invests in less mature but high-potential energy transition technologies. In addition to funding, Repsol Corporate Venturing provides startups access to Repsol's R&D facilities and over 200 scientists to help validate and develop their technologies.",Repsol,Energy,Spain
Rio Tinto,http://www.riotinto.com,"Rio Tinto has a corporate venture capital fund that was created in 2021 to invest in technology and startups to help solve critical business challenges in the mining industry. The fund focuses on investing in startups and technologies in the fields of safe mine operations, decarbonization, exploration processing, and automation.",Rio Tinto,Resources,Australia
Roquette Ventures,https://www.roquette.com/roquette-ventures,"Roquette Ventures is the corporate venture capital arm of the Roquette group, founded in 2010. As a long-term strategic partner, Roquette Ventures invests in inspiring, passionate and forward-looking teams, as well as projects that develop the best innovations for the Pharma and Food & Nutrition markets, anywhere in the value chain. Roquette Ventures' priority industries include:

- Innovative solutions disrupting traditional drug delivery
- Plant-based ingredients offering nutritional and functional benefits
- High performing plant-based specialties offering sensory and technological advantages for Cosmetics markets
- Breakthrough technologies that improve manufacturing processes
- Rethinking business models for bringing plant-based innovations to the market",Roquette,Food and Agriculture,France
RTX Ventures,https://www.rtx.com/our-company/ventures,"RTX Ventures is the corporate venture capital division of Raytheon Technologies (RTX). It invests in small, growing companies and ideas that will transform the aerospace and defense industries. RTX Ventures focuses on technologies that can have an impact across RTX's entire portfolio, with emphasis on four priority areas: 1) Secure and connected ecosystems, 2) Power and propulsion, 3) Autonomy and artificial intelligence, and 4) Precision sensing and effects. RTX Ventures invests in companies developing technologies that can create considerable disruption in the aerospace, defense, and commercial aviation sectors.",Raytheon Technologies,Industrial,United States
SABIC Ventures,http://www.ventures.sabic.com,"SABIC Ventures is the corporate venture capital arm of SABIC, a global leader in chemicals. SABIC Ventures focuses on providing seed and early-stage venture capital financing to innovative companies in priority industries such as the circular economy, digital technologies for the chemical industry, decarbonization and sustainability, and advanced materials and chemicals. The SABIC Ventures team has a global presence with offices in the USA, Europe, and China, and decades of expertise across the chemical and petrochemical sectors. SABIC Ventures invests in startups and early-stage companies developing novel technologies and solutions aligned with SABIC's strategic priorities around sustainability, digitalization, and advanced materials.",SABIC,Resources,Saudi Arabia
Safran Corporate Ventures,https://www.safran-group.com/fr/societe/safran-corporate-ventures,"Safran Corporate Ventures is the corporate venture capital arm of the Safran Group, a leading international high-technology group operating in the aviation, space and defense industries. Safran Corporate Ventures has an investment budget of 130 million euros and focuses on investing in startups developing disruptive technologies and business models in the following priority industries:

1. Decarbonization
2. Sovereignty
3. Space
4. New services and business models
5. Connected cabin and passenger experience
6. New and advanced materials
7. Industry 4.0",Safran Group,Industrial,France
Salesforce Ventures,https://www.salesforceventures.com,"Salesforce Ventures is the corporate venture capital arm of Salesforce, founded in 2009 and based in San Francisco. They invest in cloud-based and enterprise technology companies, from seed to IPO stage. Salesforce Ventures has partnered with over 400 enterprise software companies, including Airtable, Databricks, DocuSign, and Snowflake. Salesforce Ventures invests in a wide range of industries, including Commerce, Data Stack, FinTech, Future of Work, Generative AI, Health Tech, Impact, SaaS Reinvented, Security, and Slack Fund. ",Salesforce,Technology,United States
Samsung Catalyst Fund,https://samsungcatalyst.com/,"Samsung Catalyst Fund is a U.S.-based venture capital fund fully owned by Samsung Electronics that invests globally in innovative startups. The fund focuses on technologies that have the potential to deliver tangible benefits to society, including data center and cloud, artificial intelligence, networking and 5G, automotive, sensors, and quantum computing.
The fund's mission is to create value and foster mutual growth by working closely with entrepreneurs and disruptive ideas. It leverages Samsung's industry leadership and product breadth to identify, invest in, and collaborate with startups whose technologies can make a positive impact on the world.
Samsung Catalyst Fund views startups as more than just financial investments. Portfolio companies gain access to shared resources, financing, networking opportunities, corporate development, and mentorship from domain experts. The fund aims to provide entrepreneurs with an inside track to Samsung's future growth, helping create new generations of cutting-edge business success.
The fund operates with a charter to make independent investment decisions and assume fiduciary responsibility to its portfolio companies. This structure allows the Samsung Catalyst Fund team to make rapid and transparent investment decisions while supporting portfolio companies both within Samsung and externally.
Samsung Catalyst Fund has a diverse portfolio of companies across various technology sectors, including AI, IoT, autonomous vehicles, healthcare, and financial technology. The fund also has a track record of successful exits, with several of its portfolio companies being acquired by major tech companies or going public.
The fund has offices in San Jose, California; Seoul, Korea; and Tel Aviv, Israel. It actively seeks new investment opportunities and encourages startups to submit their pitch decks for consideration.",Samsung Electronics,Technology,South Korea
Samsung Next,http://samsungnext.com,"Samsung Next is a corporate venture capital firm that invests in early-stage startups pursuing advanced software and services innovation. The company has a $150 million venture fund and focuses on priority industries such as artificial intelligence, blockchain, fintech, healthtech, infrastructure, and mediatech.",Samsung,Technology,South Korea
Samsung Venture Investment,http://www.samsungventures.com,"Samsung Venture Investment is the corporate venture capital arm of the Samsung Group. It is headquartered in Seoul, South Korea and has a global presence in major innovation hubs around the world. Samsung Venture Investment's mission is to drive the discovery and development of new businesses and technologies, and to promote an open innovation environment. The company invests in new future technologies that have the potential to be growth engines for the future. While Samsung Venture Investment does not explicitly list out its priority industries, it states that it is actively investing in new future technology that possess a driving force for new growth. The discovery of new growth engines is a key focus area for the firm. ",Samsung Group,Consumer,South Korea
SC Ventures,https://scventures.io/,"SC Ventures is the corporate venture unit of Standard Chartered Bank that promotes innovation, invests in disruptive financial technology, and explores alternative business models. The key priority industries that SC Ventures focuses on are:

1. Online economy and lifestyle: Enabling financial services to support the digital lifestyles of the growing online economy.
2. SMEs and world trade: Improving SME inclusion in the global economy and access to financial services.
3. Digital assets: Building robust and sustainable infrastructure to enable institutional adoption of digital assets.
4. Sustainability and inclusion: Integrating sustainability and financial inclusion into corporate and banking business models.",Standard Chartered Bank,Finance,United Kingdom
Schenker Ventures,https://www.schenker-ventures.com/,"Schenker Ventures is a venture capital firm that backs founders and startups focused on disrupting the logistics industry and connecting the world. The firm provides early-stage funding, industry expertise, and functional support to help entrepreneurs build and launch their minimum viable products (MVPs).
Venture Building Support
Schenker Ventures offers support from experienced venture builders who are proven experts, many of them being founders and investors themselves. These venture builders help founders build their companies, raise subsequent funding rounds, and prepare the business for scaling.
Global Network Access
As startups scale, Schenker Ventures provides them with access to the global DB Schenker network of suppliers, partners, and customers1. The firm also actively connects portfolio companies to top-tier investors to ensure they have the resources needed to scale their businesses1.
Entrepreneurial Freedom
A key principle of Schenker Ventures is ensuring maximum entrepreneurial freedom for founders while backing them with the full power of a global logistics market leader. Founders retain full strategic ownership of their companies while benefiting from the best support from their global venture partner and investor in the logistics and supply chain management space.
Overall, Schenker Ventures combines early-stage venture capital with deep industry expertise and network access to help founders build, launch, and scale transformative companies in the logistics sector. The firm serves as a value-added partner to entrepreneurs at every stage of their journey.",DB Schenker,Industrial,Germany
Schreiber Ventures,https://www.schreiberfoodsventures.com/,"Schreiber Ventures is the corporate venture capital arm of Schreiber Foods, a major player in the food and beverage industry with annual sales exceeding $7 billion. The venture arm aims to provide venture capital and strategic partnerships to support companies across various fields, not limited to dairy, throughout their startup, growth, and expansion phases.
The organization seeks to invest in companies that demonstrate innovative technology with the potential to disrupt existing markets or create new ones. Schreiber Ventures offers more than just financial support; it provides access to its extensive network, as well as expertise in technical, operational, supply chain, and service aspects of the business.
One of Schreiber Ventures' key strengths is its vast network, connecting over 600 of the world's leading retailers, restaurants, distributors, and food manufacturers on a daily basis. This extensive reach, combined with the company's technical capabilities and reputation for quality and service, positions Schreiber Ventures as a valuable partner for growing businesses.
When considering potential investments, Schreiber Ventures looks for three main qualities: innovation, traction, and strategic fit. They seek companies with leading-edge technology, a viable product or commercial revenue, and alignment with their investors' and company values. This approach allows Schreiber Ventures to support businesses that not only have growth potential but also align with their overall strategic vision.",Schreiber Foods,Food and Agriculture,United States
SE Ventures,https://www.seventures.com,"SE Ventures is a global venture capital fund backed by Schneider Electric, a leader in industrial automation and energy management. SE Ventures has over $1 billion in committed capital and invests in startups across its priority industries of climate tech, sustainability, energy management, and industrial technology. SE Ventures acts as a growth engine for pioneering founders, providing them access to Schneider Electric's global customer base and domain expertise, while also offering traditional venture capital financing and commercial acceleration through partnerships with Schneider Electric",Schneider Electric,Industrial,France
Second Century Ventures,https://www.scv.vc,"Second Century Ventures (SCV) is the strategic investment arm of the National Association of REALTORS® (NAR). SCV's mission is to define and deliver the future of the world's largest industry - real estate - by being a catalyst for emerging technologies, new opportunities, and top talent. SCV invests in companies across the real estate, financial services, banking, home services, and insurance industries, leveraging NAR's network of over 1.5 million members and an extensive network of industry executives, entrepreneurs, and practitioners to help its portfolio companies grow and scale.",National Association of REALTORS® (NAR),Finance,United States
Shell Ventures,https://www.shell.com/energy-and-innovation/innovating-together/shell-ventures,"Shell Ventures is the corporate venture capital arm of Royal Dutch Shell, established in 1996 as one of the first corporate venture funds in the oil and gas industry. Shell Ventures acts as an investor and partner in the commercialization of innovation, helping companies reach the next level. They invest in companies working to accelerate the energy and mobility transformation, with a focus on renewable energy, new fuels for transport, connected mobility and freight, and digital solutions. Shell Ventures' priority industries include power (e.g. renewable energy, energy storage, grid optimization), mobility (e.g. electric vehicles, autonomous vehicles, logistics optimization), emission management (e.g. carbon capture, emissions reduction), digital (e.g. industrial IoT, data analytics, AI), and resources (e.g. oil & gas technology, materials science)",Royal Dutch Shell,Energy,Netherlands
Siemens Energy Ventures,https://www.siemens-energy.com/global/en/home/company/innovation/siemens-energy-ventures.html,"Siemens Energy Ventures is the corporate venture capital arm of Siemens Energy, founded in 2020. Their focus is on investing in, building, and piloting startups that can transform energy systems and help fight climate change. Siemens Energy Ventures aims to provide sustainable, reliable, and affordable energy for all by partnering with innovative founders and startups. While the website does not explicitly state their priority industries, it indicates that Siemens Energy Ventures invests in technologies and business models across the energy value chain that can address future energy demands in more sustainable, affordable, and reliable ways. This includes areas such as low- and zero-emission power generation, energy storage, grid automation, and hydrogen solutions.",Siemens Energy,Energy,Germany
Singtel Innov8,http://innov8.singtel.com,"Singtel Innov8 is the corporate venture capital fund of Singtel, Asia's leading communications technology group. Established in 2010, Singtel Innov8 has an evergreen fund of US$350 million and invests in and partners with start-ups with promising innovations and possible applications for Singtel Group's diverse business needs. Singtel Innov8 focuses its investments on technologies and solutions that lead to quantum change in network capabilities and capacity, next generation devices, as well as digital content services and enablers to enhance customer experience. The key investment themes of Singtel Innov8 include 5G Enterprise & Applications, Digital ASEAN, Data Privacy & Security, Green-Tech, Future-Ready Workforce, and New Emerging Technologies.",Singtel,Technology,Singapore
SK Telecom Ventures,https://www.sk.com,"SK Telecom Ventures (SKTVC) is the dedicated corporate venture capital arm of SK Telecom. SKTVC makes strategic investments in technologies and solutions that are global in scale and highly synergistic to SK Telecom's businesses, with a focus on mobile platforms, infrastructures, and other cutting-edge technologies.

SK's U.S. investment strategy is guided by a purpose to create growth and opportunities in the industries that will define the future. The company's priority investment areas in the U.S. are:

1. Sustainable energy: SK is investing heavily in electric vehicles, energy storage, renewable energy, and other clean energy solutions.
2. Semiconductors: SK is expanding its semiconductor manufacturing and materials capabilities to support next-generation technologies.
3. Life sciences: SK is investing in biopharmaceuticals, pharmaceutical manufacturing, and other innovative healthcare solutions.",SK Telecom,Technology,South Korea
SLB New Energy Ventures,https://www.slb.com/driving-energy-innovation/scaling-new-energy-systems,"SLB is actively involved in driving energy innovation and scaling new energy systems as part of the global transition to low-carbon energy. The company recognizes the pressing need for society to find alternatives to fulfill the world's energy needs, acknowledging that this task is complex and requires innovation, a new approach to sustainability, and companies with the vision and capabilities to navigate complex challenges.
SLB is hosting the SLB Digital Forum 2024, where thought leaders from around the world will share their visions and experiences on how human ingenuity and technology can offer opportunities for greater efficiency in current energy systems while enabling a transition to future systems.
The company is involved in various aspects of new energy ventures, including direct lithium extraction, hydrogen energy hubs, stationary storage solutions, and carbon capture and storage. SLB emphasizes the importance of subsurface knowledge in ensuring favorable economics for lithium production as global demand surges. They are also working on making hydrogen an energy carrier of choice to enable the global energy transition.
SLB is developing nonaqueous solvent technology to drive carbon capture cost reductions across hard-to-abate industries. The company is involved in projects that will capture and sequester CO2 emissions from sectors such as hydrogen, ammonia, and natural gas. Additionally, SLB's industry-leading geothermal expertise has enabled the evaluation of countrywide geothermal potential to explore decarbonization pathways.
The company's efforts in new energy ventures focus on working together to abate emissions, making better decisions faster, improving performance in the oil and gas industry, and accelerating the transition to low-carbon energy. SLB's approach combines human ingenuity with technology to address the complex challenges of the energy transition.",SLB,Energy,United States
SnackFutures,https://www.snackfutures.com/,"SnackFutures is Mondelēz International's corporate venture capital hub that was created to accelerate growth and solidify their snacking leadership globally. SnackFutures invests in three key priority areas:

1. High Growth Scale Up: Fast growing, scale up businesses in Mondelēz's core categories of chocolate, biscuits, and baked snacks.

2. Early Stage Disruptors: Early-stage brands and businesses in the areas of well-being, sustainability, personalization and new business models.

3. Emerging Tech: Emerging technologies that give Mondelēz new capabilities in sustainable food ingredients, packaging, consumer experiences, and supply chain.

SnackFutures positions itself as a strategic partner, providing not just financial investment but also global resources, expertise and a network of partners to fuel profitable growth for their portfolio companies.",Mondelēz International,Food and Agriculture,United States
Snowflake Ventures,https://www.snowflake.com/snowflake-ventures,"Snowflake Ventures is Snowflake's corporate venture capital arm that invests in companies committed to mobilizing data, providing value to Snowflake's customers, and expanding opportunities in the Snowflake Data Cloud. Snowflake Ventures prioritizes investments in companies across areas such as AI/ML, data engineering, governance & security, data visualization, and industry solutions that can enhance Snowflake's capabilities and ecosystem. The firm also has a Powered by Snowflake Funding Program that invests in startups building Snowflake Native Apps, and a Startup Challenge that provides investment and support to early-stage startups building innovative applications and products powered by the Snowflake Data Cloud",Snowflake,Technology,United States
Sony Innovation Fund,http://www.sonyinnovationfund.com/,"Sony Innovation Fund is a corporate venture capital fund that invests in technology-driven transformational companies shaping the future of business, entertainment and society. They focus on investing in consumer and enterprise-facing startups at all stages that are bringing new innovations to market in areas like Entertainment, FinTech, Healthcare, IoT, Mobility, Deep Tech and Sensor Technologies. With over $250M in assets under management and a global presence, Sony Innovation Fund leverages its technical expertise, partner networks, and Sony's resources to help startups grow and scale. The fund also recognizes the importance of Environmental, Social, and Governance (ESG) factors and has adopted them in its investment process.",Sony,Consumer,Japan
Southern Company New Ventures,https://www.southerncompany.com/newsroom/clean-energy/how-southern-company-is-investing-in-the-future-of-energy.html,"Southern Company's New Ventures organization plays a crucial role in the company's efforts to invest in the future of energy and drive decarbonization. It collaborates with emerging clean tech companies that are part of Energy Impact Partners (EIP), a utility-backed investment fund focused on sustainable startups. The primary purpose of New Ventures is to identify and support innovative concepts that address customers' changing needs and advance decarbonization efforts for the customers and communities served by Southern Company subsidiaries.

For example, it works with Moxion Power, which provides zero-emission battery solutions for events and industries traditionally reliant on fossil fuels, and Rheaply, a climate technology company focused on reuse and the circular economy.
",Southern Company,Energy,United States
SQM Lithium Ventures,https://www.sqm.com/en/noticia/sqm-lithium-ventures-presento-a-la-primera-generacion-de-emprendedores-del-programa-de-aceleracion-corporativa/,"SQM Lithium Ventures is a corporate venture capital fund launched by SQM, one of the world's largest producers of lithium. The fund was established at the end of 2022 to accelerate entrepreneurship in Chile and globally, with a focus on three priority industries: lithium, water, and electromobility. SQM Lithium Ventures will invest up to $40 million in startups and early-stage companies developing innovative solutions in these key areas. The goal is to find and promote new technologies related to lithium production and usage, as well as support sustainable solutions for water usage and the electrification of transportation. In addition to providing capital, the fund operates an acceleration program based in Antofagasta, Chile to support earlier-stage startups in their three focus verticals. SQM Lithium Ventures has already made investments, including a $9.43 million follow-on investment in UK-based battery recycling company Altilium.",SQM,Resources,Chile
Stanley Ventures,https://www.stanleyventures.com/our-focus,"Stanley Ventures is the corporate venture capital arm of Stanley Black & Decker, a leading industrial tools and hardware company. Stanley Ventures invests in early-stage, disruptive technologies that are poised for commercialization. As a strategic investor, Stanley Ventures provides industry expertise, supplier relationships, access to millions of customers, and Stanley Black & Decker's vast network of brands to help startups grow and scale their businesses. Stanley Ventures focuses its investments on three key areas: 1) Tools & Storage (battery innovations, wireless charging, asset tracking, jobsite progress), 2) Fastening Solutions (joining technologies, new materials, automation, 3D printing), and 3) Construction & Demolition (robotics, recycling, electrification, industrial IoT)",Stanley Black & Decker,Industrial,United States
Statkraft Ventures,https://statkraftventures.com/,"Statkraft Ventures is a venture capital firm that focuses on investing in early-stage technology companies in the energy sector. The firm is backed by Statkraft, Europe's largest renewable energy producer, and operates as its corporate venture capital arm. Statkraft Ventures targets startups that are developing innovative solutions to accelerate the energy transition and create a sustainable energy future.
The investment strategy of Statkraft Ventures centers on three key areas: decarbonization of energy systems, electrification of industries and transport, and innovative technologies for renewable energy. They primarily invest in Seed and Series A rounds, with initial investments typically ranging from €1 million to €5 million. The firm maintains the ability to participate in follow-on rounds to support the growth of their portfolio companies.
Statkraft Ventures offers more than just financial support to its portfolio companies. They provide access to Statkraft's extensive network, which includes industry experts, potential customers, and partners across Europe. This network can be invaluable for startups looking to scale their operations and expand into new markets.
The firm's investment team consists of experienced professionals with backgrounds in venture capital, entrepreneurship, and the energy sector. They work closely with founders to provide strategic guidance and support throughout the growth journey of their portfolio companies.
Statkraft Ventures has a global outlook, with investments spanning across Europe and beyond. They are particularly interested in companies that have the potential to make a significant impact on the energy transition and align with Statkraft's vision of being a leading international company in pure energy.",Statkraft,Energy,Norway
Stellantis Ventures,https://www.stellantis.com/q/stellantis-ventures,"Stellantis Ventures is the corporate venture fund of Stellantis N.V., established in 2022 with an initial investment of €300 million. The fund targets early and later-stage startup companies developing cutting-edge technologies for the automotive and mobility sectors. Stellantis Ventures invests in startups focused on sustainability (advanced materials, energy storage, manufacturing, supply chain, mobility infrastructure) and technology (autonomous driving, electronics, connectivity, software, sales/distribution, fintech, virtual reality, micromobility, advanced vehicle features).",Stellantis N.V.,Automotive,Netherlands
STIHL Ventures,https://stihldigital.com/,"STIHL Ventures is the corporate venture capital arm of the STIHL Group. They invest in startups and enter into partnerships in the following priority industries:

- Forestry
- Professional landscaping
- Gardening 
- Agriculture
- Construction

The goal of STIHL Ventures is to add value to these startups by contributing STIHL's extensive ecosystem network and assets as a leading company in these industries. STIHL Ventures runs both venture capital investments as well as venture partnering collaborations to increase efficiency or generate new revenue for the STIHL Group [1,2,3].",STIHL Group,Industrial,Germany
Superseed Ventures,https://superseed.ventures/,"Superseed Ventures is the corporate venture capital arm of the Reece Group, a leading trade business in Australia. Superseed Ventures invests in ""TradeTech"" startups that are transforming trade businesses and the built environment. Their priority industries include:

1. The ""Future Tradie"" - Investing in technologies that help trade businesses leverage technology to reduce admin, better manage projects, and improve profitability.

2. Integrated Procurement - Investing in digital platforms that integrate accurate product data and enable e-procurement of building materials, driving convenience for customers.

3. Intelligent Supply - Investing in technologies like AI that can supercharge how building material distributors serve and supply their customers.

4. Sustainable Built World - Investing in technologies that can help monitor and reduce emissions in the built environment to meet carbon emission targets.

Superseed Ventures benefits from the industry expertise and customer access of its parent company, the Reece Group, which has over 100 years of experience serving the plumbing, waterworks and HVAC industries, and over 200,000 customers across 800+ locations globally.",Reece Group,Industrial,Australia
Sustainable Impact Capital,https://home.barclays/sustainability/addressing-climate-change/financing-the-transition/sustainable-impact-capital/,"Barclays' Sustainable Impact Capital portfolio is the bank's corporate venture capital program focused on investing in and supporting climate tech startups. The portfolio has a mandate to invest £500 million into global climate tech startups by the end of 2027, with a focus on companies whose values are aligned with Barclays and which target the goals and timelines of the Paris Agreement.  The Sustainable Impact Capital portfolio prioritizes investments in startups solving environmental and social issues, in order to support Barclays' broader goal of facilitating $1 trillion of sustainable and green financing by 2030. The portfolio's next phase of investments will have a particular focus on decarbonization technologies aimed at enabling the transition within carbon-intensive sectors, with a focus on carbon capture and hydrogen technologies, as well as sectors where Barclays has meaningful client exposure such as energy and power, real estate, and transport.",Barclays,Finance,United Kingdom
Swisscom Ventures,https://ventures.swisscom.com,"Swisscom Ventures is the venture capital arm of Swisscom AG, the leading telecom and IT provider in Switzerland. Since 2007, they have invested in over 80 technology companies from their offices in Switzerland and the USA. Swisscom Ventures focuses on supporting outstanding teams with the potential to become global tech winners, investing in companies both in Switzerland and internationally where they can add value beyond just capital. They invest in digital technologies that are well-positioned to disrupt specific verticals, with a focus on sectors where they have domain expertise and a proven track record.",Swisscom AG,Technology,Switzerland
Syensqo Ventures,https://www.syensqo.com/en/innovation/syensqo-ventures,"Syensqo Ventures is the corporate venture capital arm of Syensqo, a leading global specialty chemicals company. Syensqo Ventures invests in early-stage startups developing innovative technologies and solutions in four key areas: electrification, resource efficiency, improving quality of life, and advanced connectivity. The fund focuses on sustainable advanced materials, clean energy, digital technologies, and other solutions that align with Syensqo's strategic priorities and sustainability goals. In addition to direct investments, Syensqo Ventures also makes select investments in venture capital funds to expand its network and access to emerging technologies, particularly in China.",Syensqo,Technology,Belgium
Syngenta Group Ventures,https://www.syngentagroupventures.com/,"The Syngenta Group Ventures portfolio covers game-changing products, technologies and business models that are helping to shape the future of agriculture, sustainability and the world. Our investments fall into five categories and range in terms of company stage, size and geography, opening a window to the most exciting markets and industry sectors. 


Learn more about some of the companies in our investment portfolio to uncover how these innovations are feeding more with less, while leaving the planet in better shape for future generations.",Syngenta,Food and Agriculture,Switzerland
T Capital,https://www.t.capital/,"T Capital invests strategic capital for Deutsche Telekom. They provide early- and late-stage strategic capital to companies that have synergies with Deutsche Telekom. They manage the investment cycle from origination to closing, and the relationship beyond. They facilitate partner relationships that create strategic and financial value for Deutsche Telekom and their portfolio companies - providing introductions to new business partners, driving commercial engagements and assisting in critical junctures.",Deutsche Telekom,Technology,Germany
Takeda Digital Ventures,https://www.takeda.com/science/research-and-development/partnerships/cei,"Takeda Digital Ventures is not mentioned in the provided URL. Instead, the page focuses on Takeda's Center for External Innovation (CEI).
The Center for External Innovation is a key component of Takeda's Research & Development strategy. It serves as the primary entry point for external opportunities across Takeda's core therapeutic areas and emerging biology platforms. The CEI team is responsible for identifying, evaluating, and executing partnerships and investments that align with Takeda's strategic priorities.
CEI collaborates with various stakeholders, including academic institutions, biotech companies, and venture capital firms. Their goal is to accelerate the development of innovative therapies that can potentially transform patients' lives. The team works closely with Takeda's internal research units and therapeutic area units to ensure a seamless integration of external innovations into the company's pipeline.
The Center for External Innovation employs a flexible partnering approach, offering various collaboration models tailored to the specific needs of each opportunity. These models include strategic partnerships, co-development agreements, licensing deals, and equity investments. This adaptable strategy allows Takeda to engage with partners at different stages of development and across various therapeutic modalities.",Takeda,Technology,Japan
TDK Ventures,http://www.tdk-ventures.com/,"TDK Ventures is a corporate venture capital firm that invests globally in early-stage tech startups, with a focus on ""Impact Scaling"" entrepreneurs who are creating a new era of sustainability and social value. Their priority industries for investment include materials science, energy/power, cleantech, industrial 4.0, mobility, and healthtech. TDK Ventures is dedicated to fostering the success of early-stage startups in these critical technology domains, with the goal of accelerating learnings and contributions to these important areas.",TDK,Technology,Japan
TechEnergy Ventures,https://www.techenergyventures.com/,"TechEnergy Ventures is the Corporate Venture Capital of the Energy Transition Division of Tecpetrol, part of the Techint Group. They invest globally in early-stage to growth technology companies and support their investments with critical scale-up capabilities. TechEnergy Ventures' priority industries that they invest in are: 1) Hydrogen: Providing sustainable and economically viable solutions for the production, transportation, storage and utilization of low-carbon hydrogen and clean fuels. 2) Carbon Management: Effective and competitive technologies to decarbonize existing power and industrial infrastructure. 3) Lithium: Innovative solutions for sustainable production and processing of lithium. 4) Electrification: Clean, reliable and sustainable power and storage solutions to enable decarbonization via electrification.",Techint Group,Industrial,Argentina
Tekfen Ventures,https://tekfenventures.com/,"Tekfen Ventures is an early-stage venture capital firm based in New York City that invests in visionary founders pursuing bold transformations in the legacy industries that build, feed, and supply the world. Their priority industries for investment include agriculture, construction, manufacturing, and real estate. Tekfen Ventures was founded in partnership with Tekfen Holding, a publicly-traded industrial conglomerate founded in 1956 with over 18,000 employees working across 40 subsidiaries. Beyond capital, Tekfen Ventures leverages Tekfen Holding's industry leadership, global reach, and deep operating expertise to offer true partnership to their portfolio companies.",Tekfen Holding,Industrial,Turkey
TEL Venture Capital,https://www.tel.com/rd/telvc/,"TEL Venture Capital is a subsidiary of Tokyo Electron, a leading manufacturer of semiconductor and display production equipment. The venture capital firm focuses on investing in innovative technologies that complement and synergize with Tokyo Electron's core businesses. Their investment areas encompass semiconductor and display technologies, as well as related fields and silicon fabrication process technologies.
The company's investment strategy emphasizes partnership with portfolio companies, aiming to foster joint development and collaborative business opportunities. TEL Venture Capital is particularly interested in startups developing ultra-small sensors and real-time sensors for closed environments, with applications in semiconductor process equipment.
Beyond financial support, TEL Venture Capital provides comprehensive assistance to its portfolio companies. This includes leveraging Tokyo Electron's global business experience, technical expertise, and extensive resources to aid in technology and business development. Portfolio companies can benefit from joint development initiatives and collaborative work with Tokyo Electron, gaining access to its global business infrastructure and network in the electronics, display, and semiconductor industries.
TEL Venture Capital's investment evaluation process prioritizes cutting-edge technologies with global potential, clear synergies with Tokyo Electron, and the prospect of strong investment returns. The firm conducts thorough due diligence, including rapid proof-of-concept verification by technical staff. Once an investment decision is made, TEL Venture Capital commits to supporting the portfolio company's growth and expansion.
The venture capital firm maintains offices in both the United States and Japan, reflecting its global approach to identifying and nurturing innovative technologies in the semiconductor and display industries.",Tokyo Electron,Technology,Japan
Telefónica Innovation Ventures,https://telefonica.com/es/web/innovation/innovation-ventures,"Telefónica Innovation Ventures is the corporate venture capital arm of Telefónica, focusing on investing in technology startups that align with the company's strategic priorities. The fund operates globally, with a particular emphasis on key markets for Telefónica, including Spain, Germany, the UK, and Latin America.
The venture arm aims to identify and support innovative startups that can potentially enhance Telefónica's core business. It invests in companies at various stages of development, from early to growth stages, with typical investment amounts ranging from €0.1M to €5M. Telefónica Innovation Ventures not only provides financial support but also offers strategic value to its portfolio companies by facilitating access to Telefónica's extensive customer base, technical capabilities, and global presence.
The investment focus of Telefónica Innovation Ventures spans several key areas of technology and innovation. These include cybersecurity, artificial intelligence, Internet of Things (IoT), video, Big Data, cloud computing, connectivity, and other disruptive technologies that have the potential to shape the future of the telecommunications industry.
In addition to direct investments, Telefónica Innovation Ventures also engages in partnerships with other venture capital funds. This approach allows them to expand their reach and gain access to a broader range of innovative startups and technologies. The venture arm has established collaborations with funds in various regions, including Europe, Israel, and the United States.
Telefónica Innovation Ventures has built a diverse portfolio of companies across different sectors and technologies. Some notable investments include Nozomi Networks, a leader in OT and IoT security, and Altiostar, which specializes in open and virtualized RAN technology. The venture arm's investments demonstrate its commitment to supporting cutting-edge technologies that can drive innovation within Telefónica and the broader telecommunications industry.",Telefonica,Technology,Spain
Telkomsel Ventures,https://www.telkomsel.vc,"Telkomsel Ventures is the corporate venture capital arm of Telkomsel, Indonesia's largest telecommunications company. Their mission is to 1) create value for Telkomsel's growth while helping Indonesia's economy, 2) generate sustainable returns for shareholders, and 3) accelerate innovation through collaboration with startups.  Telkomsel Ventures focuses on investing in early-stage, high-growth startups across three priority industries: Digital Lifestyle, Digital Enablement, and Emerging Technologies. This suggests they are interested in consumer tech, enterprise/B2B tech, and frontier/emerging technology sectors. By providing startups access to Telkomsel's extensive ecosystem, assets, and expertise, Telkomsel Ventures aims to help these promising companies accelerate their growth. The venture firm has a long-term perspective and is driven by a passion for technology and entrepreneurship.",Telkomsel,Technology,Indonesia
